dataset,kernel,run,accuracy,f1_score,train_time,random_seed
ionosphere,RBF,16,94.0079365079365,93.94706518068222,0.1608190000988543,58
ionosphere,RBF,17,95.15873015873015,95.05039145723056,0.1604710000101477,59
ionosphere,RBF,18,94.87301587301587,94.8202694570479,0.15924439998343587,60
ionosphere,RBF,19,94.57936507936508,94.55092660654178,0.1612205000128597,61
ionosphere,RBF,20,94.58730158730158,94.50528026398516,0.16220859996974468,62
ionosphere,RBF,21,94.3015873015873,94.23159048240719,0.16111509990878403,63
ionosphere,RBF,22,95.72222222222223,95.67985862891055,0.16001960006542504,64
ionosphere,RBF,23,95.42857142857143,95.38612509756369,0.1607480999082327,65
ionosphere,RBF,24,94.86507936507937,94.84524850860487,0.15939050004817545,66
ionosphere,RBF,25,95.17460317460318,95.09555125884252,0.1612392000388354,67
ionosphere,RBF,26,94.58730158730158,94.4739222781793,0.16092710010707378,68
ionosphere,RBF,27,95.14285714285714,95.04863533292104,0.15929129999130964,69
ionosphere,RBF,28,94.87301587301587,94.84166229588755,0.16030530002899468,70
ionosphere,RBF,29,94.59523809523809,94.57983095190168,0.16187680000439286,71
ionosphere,RBF,30,95.14285714285714,95.07328373065486,0.16053309990093112,72
ionosphere,RBF,31,94.87301587301587,94.8407167561892,0.15938420011661947,73
ionosphere,RBF,32,94.87301587301587,94.83971042374102,0.16102449991740286,74
ionosphere,RBF,33,95.73015873015873,95.71128793536123,0.15938089997507632,75
ionosphere,RBF,34,94.59523809523809,94.5405050315459,0.16035469993948936,76
ionosphere,HERMITE,0,87.73015873015873,87.93438454354006,0.7031839999835938,42
ionosphere,HERMITE,1,88.29365079365078,88.50649637644523,0.7025943999178708,43
ionosphere,HERMITE,2,86.9047619047619,87.07294984268363,0.7012688000686467,44
ionosphere,HERMITE,3,86.8888888888889,87.11614539551469,0.7022782999556512,45
ionosphere,HERMITE,4,87.19047619047619,87.38613968646469,0.7001789000350982,46
ionosphere,HERMITE,5,87.76190476190476,87.95842588325519,0.6978492999915034,47
ionosphere,HERMITE,6,88.03174603174604,88.21631666005894,0.6864142999984324,48
ionosphere,HERMITE,7,87.20634920634922,87.37886814940808,0.6967798001132905,49
ionosphere,HERMITE,8,87.73015873015872,87.90895319389283,0.6943092998117208,50
ionosphere,HERMITE,9,87.19047619047619,87.37663437050405,0.6973368001636118,51
ionosphere,HERMITE,10,88.32539682539682,88.51709521155652,0.6952949000988156,52
ionosphere,HERMITE,11,86.3015873015873,86.52614851737705,0.7005723998881876,53
ionosphere,HERMITE,12,86.87301587301587,87.07976938239315,0.699925199849531,54
ionosphere,HERMITE,13,87.73015873015872,87.93576353115796,0.7008768999949098,55
ionosphere,HERMITE,14,87.72222222222223,87.93301269674976,0.7021455999929458,56
ionosphere,HERMITE,15,86.9047619047619,87.10925858478014,0.7013836998958141,57
ionosphere,HERMITE,16,87.45238095238095,87.66713443788217,0.705282700015232,58
ionosphere,HERMITE,17,87.76190476190476,87.96660858111858,0.6935295001603663,59
ionosphere,HERMITE,18,87.17460317460318,87.36127510988729,0.692910100100562,60
ionosphere,HERMITE,19,87.18253968253968,87.39137724473976,0.694073999999091,61
ionosphere,HERMITE,20,87.15873015873015,87.36663969444052,0.6966558999847621,62
ionosphere,HERMITE,21,87.76190476190477,87.93539075834403,0.70457569998689,63
ionosphere,HERMITE,22,87.18253968253968,87.37138266490356,0.7011328998487443,64
ionosphere,HERMITE,23,87.73809523809524,87.93852467811632,0.7070036998484284,65
ionosphere,HERMITE,24,86.61111111111111,86.83878319612992,0.7071247000712901,66
ionosphere,HERMITE,25,88.03968253968254,88.23309167787072,0.7002127000596374,67
ionosphere,HERMITE,26,87.20634920634922,87.41469243826833,0.70691949990578,68
ionosphere,HERMITE,27,88.05555555555553,88.2006338617931,0.7053889001253992,69
ionosphere,HERMITE,28,87.73809523809524,87.94687143554418,0.7042282000184059,70
ionosphere,HERMITE,29,86.91269841269842,87.10095617879475,0.7049318000208586,71
ionosphere,HERMITE,30,86.88095238095238,87.09567580856799,0.7080562000628561,72
